patient_id	TCGA.A1.A0SE.01	TCGA.A1.A0SH.01	TCGA.A1.A0SJ.01	TCGA.A1.A0SK.01	TCGA.A1.A0SM.01	TCGA.A1.A0SO.01	TCGA.A1.A0SP.01	TCGA.A2.A04N.01	TCGA.A2.A04P.01
total_genes_patients	820	820	820	820	28	28	820	820	820
number_modules	42	41	36	33	12	7	46	37	39
#genes_module1	15	2	16	7	1	3	4	4	90
#genes_module2	48	29	206	61	7	3	101	182	169
#genes_module3	38	233	123	63	2	2	73	183	28
#genes_module4	78	204	42	183	1	11	77	19	11
#genes_module5	167	4	41	25	2	1	47	35	49
#genes_module6	169	26	130	263	3	6	6	4	172
#genes_module7	11	30	11	74	5	2	1	68	55
#genes_module8	14	13	22	3	3	NA	17	19	39
#genes_module9	11	10	57	4	1	NA	30	12	9
#genes_module10	10	61	5	9	1	NA	5	23	29
#genes_module11	13	46	1	12	1	NA	114	1	8
#genes_module12	26	19	3	19	1	NA	58	40	19
#genes_module13	43	26	26	10	NA	NA	27	9	24
#genes_module14	4	12	4	16	NA	NA	38	73	20
#genes_module15	6	18	7	13	NA	NA	7	48	2
#genes_module16	20	2	1	3	NA	NA	25	6	3
#genes_module17	15	8	6	12	NA	NA	10	11	22
#genes_module18	54	7	8	1	NA	NA	29	5	5
#genes_module19	24	2	19	13	NA	NA	4	3	4
#genes_module20	3	30	15	1	NA	NA	3	2	3
#genes_module21	1	1	9	3	NA	NA	33	7	13
#genes_module22	8	1	9	1	NA	NA	25	11	3
#genes_module23	8	1	10	1	NA	NA	1	12	2
#genes_module24	4	2	6	4	NA	NA	16	7	3
#genes_module25	1	2	3	1	NA	NA	4	8	3
#genes_module26	1	1	6	2	NA	NA	1	6	4
#genes_module27	1	4	3	3	NA	NA	3	2	1
#genes_module28	1	4	3	1	NA	NA	3	1	3
#genes_module29	1	1	9	6	NA	NA	5	4	2
#genes_module30	2	2	6	1	NA	NA	12	4	3
#genes_module31	2	1	2	2	NA	NA	1	1	2
#genes_module32	1	6	1	2	NA	NA	1	4	7
#genes_module33	3	1	1	1	NA	NA	1	1	1
#genes_module34	1	1	6	NA	NA	NA	5	1	6
#genes_module35	4	1	2	NA	NA	NA	3	1	2
#genes_module36	2	3	1	NA	NA	NA	2	1	1
#genes_module37	1	1	NA	NA	NA	NA	6	2	1
#genes_module38	2	2	NA	NA	NA	NA	3	NA	1
#genes_module39	3	1	NA	NA	NA	NA	1	NA	1
#genes_module40	2	1	NA	NA	NA	NA	1	NA	NA
#genes_module41	1	1	NA	NA	NA	NA	4	NA	NA
#genes_module42	1	NA	NA	NA	NA	NA	5	NA	NA
#genes_module43	NA	NA	NA	NA	NA	NA	3	NA	NA
#genes_module44	NA	NA	NA	NA	NA	NA	3	NA	NA
#genes_module45	NA	NA	NA	NA	NA	NA	1	NA	NA
#genes_module46	NA	NA	NA	NA	NA	NA	1	NA	NA
genes_in_module1	1-Mar,AUTS2,CHL1,EGR3,GLI3,HSD17B14,KCNJ3,KIAA0040,KLF2,NCF2,PRICKLE1,RASSF6,REEP1,TMC4,ZMYND11	1-Mar,TLR7	1-Mar,ADCYAP1,ARHGEF6,CDKL5,CHL1,EGR3,IRF2,LAMP1,NEIL2,NSUN7,P2RY12,RASSF6,SMAD1,STAC2,TAGAP,TBL1X	1-Mar,GRM8,MS4A7,NLRP4,RASSF6,RGS1,SLC8A1	1-Mar	1-Mar,PIK3R5,PITPNM3	1-Mar,CRYM,PCMTD1,ZNF750	1-Mar,BANK1,GPR65,MS4A2	1-Mar,ABHD12,ACYP2,ARMC3,ATF7IP,ATXN1,BATF,BCL6,BRPF1,BTN3A2,C11orf24,CALM1,CD200R1,CD274,CDKL5,CHL1,CLCN4,COG6,CTDSP1,DAPP1,DHTKD1,DIRAS1,DMD,DSE,DTNB,FGF12,FGF9,FLT1,FOXP1,GPD2,GPR82,GRIN2D,HELB,HES1,HIST1H4C,HIST1H4H,HPS6,HSD17B14,HTRA4,IFNA8,IRF2,KLF6,L3MBTL2,LIMK1,LYN,MACROD2,MESP1,MORC3,MYADM,NFKB1,NFKBIA,NKX2-8,NKX6-1,NMBR,OPTN,P2RY10,PARP15,PDXK,PLEKHA1,PNPLA6,PPIG,PRKCE,RASSF6,RND1,RSRC1,SATB1,SCNN1B,SHB,SIRPA,SLC19A1,SLC43A2,SLMAP,SMAD1,SMARCA2,SOCS1,SPRY1,TBL1X,TLR10,TLR7,TMC4,TMEM143,TMEM175,TNFAIP3,VCAN,ZDHHC14,ZEB2,ZMYND11,ZNF512B,ZNF575,ZZEF1
