entrez_gene_symbol	drug_primary_name
TP53	Abemaciclib
ESR1	Abemaciclib
KRAS	Abemaciclib
CDK4	Abemaciclib
KRAS	Abemaciclib
TP53	Abemaciclib
KRAS	Abemaciclib
ERBB2	Abemaciclib
NRAS	Abemaciclib
CDKN2A	Abemaciclib
ERBB2	Ado-Trastuzumab Emtansine
ERBB2	Ado-Trastuzumab Emtansine
RET	Alectinib
SMAD4	Alectinib
ALK	Alectinib
CDKN2A	Alectinib
ALK	Alectinib
NPM1	Alectinib
ALK	Alectinib
ALK	Alectinib
FGFR1	Alectinib
EML4	Alectinib
ESR1	Anastrozole
JMJD6	Anastrozole
ESR1	Anastrozole
ERBB2	Anastrozole
PML	Arsenic Trioxide
PML	Arsenic Trioxide
RARA	Arsenic Trioxide
MLH1	Atezolizumab
KRAS	Atezolizumab
CD274	Atezolizumab
	Atezolizumab
BRAF	Atezolizumab
MSH6	Atezolizumab
PMS2	Atezolizumab
NRAS	Atezolizumab
MSH2	Atezolizumab
KRAS	Atezolizumab
CD274	Atezolizumab
EGFR	Atezolizumab
MSH3	Atezolizumab
ALK	Atezolizumab
CD274	Avelumab
ABL1	Axitinib
VHL	Axitinib
IDH1	Azacitidine
FLT3	Azacitidine
TET2	Azacitidine
ASXL1	Azacitidine
FBXW7	Belinostat
UGT1A1	Belinostat
KMT2A	Belinostat
IDH1	Bevacizumab
KRAS	Bevacizumab
MET	Bevacizumab
NF1	Bevacizumab
VHL	Bevacizumab
EGFR	Bevacizumab
VHL	Bevacizumab
ERBB2	Bevacizumab
BRAF	Bevacizumab
NF2	Bevacizumab
PIK3CA	Bevacizumab
KIT	Bevacizumab
TP53	Bevacizumab
	Bevacizumab
CDH1	Bicalutamide
KMT2D	Bicalutamide
AR	Bicalutamide
KRAS	Binimetinib
KRAS	Binimetinib
ATM	Binimetinib
BRAF	Binimetinib
NRAS	Binimetinib
NF1	Binimetinib
BRAF	Binimetinib
PTEN	Binimetinib
APC	Binimetinib
NRAS	Binimetinib
HRAS	Binimetinib
ABL1	Blinatumomab
BCR	Blinatumomab
	Bortezomib
RB1	Bortezomib
PIK3CA	Bortezomib
FGFR3	Bortezomib
NOTCH1	Bortezomib
ABL1	Bosutinib
EGFR	Bosutinib
SRC	Bosutinib
BCR	Bosutinib
ABL1	Bosutinib
ALK	Brentuximab Vedotin
ALK	Brigatinib
ALK	Brigatinib
BCR	Busulfan
ABL1	Busulfan
PIK3CA	Capecitabine
ERBB2	Capecitabine
KRAS	Capecitabine
MET	Capecitabine
DPYD	Capecitabine
DPYD	Capecitabine
CDH1	Capecitabine
MET	Carboplatin
PDGFRA	Carboplatin
BRCA1	Carboplatin
PIK3CA	Carboplatin
BRCA2	Carboplatin
KRAS	Carboplatin
TP53	Carboplatin
CDKN2A	Carboplatin
SMAD4	Carboplatin
ALK	Ceritinib
SRC	Ceritinib
ALK	Ceritinib
ROS1	Ceritinib
MAP2K1	Ceritinib
EML4	Ceritinib
ALK	Ceritinib
NPM1	Ceritinib
ALK	Ceritinib
PTEN	Cetuximab
BRAF	Cetuximab
PIK3CA	Cetuximab
EGFR	Cetuximab
EGFR	Cetuximab
KDR	Cetuximab
	Cetuximab
PIK3CA	Cetuximab
MAP2K1	Cetuximab
NRAS	Cetuximab
EGFR	Cetuximab
MET	Cetuximab
AKT1	Cetuximab
NRAS	Cetuximab
ERBB4	Cetuximab
RET	Cetuximab
NRAS	Cetuximab
ERBB2	Cetuximab
KRAS	Cetuximab
BRAF	Cetuximab
KRAS	Cetuximab
HRAS	Cetuximab
EGFR	Cetuximab
NF2	Cetuximab
BRAF	Cetuximab
FGFR2	Cetuximab
KRAS	Cetuximab
BRCA1	Chlorambucil
BRCA2	Chlorambucil
PIK3CA	Cisplatin
ERCC4	Cisplatin
ERCC2	Cisplatin
ERCC6	Cisplatin
RB1	Cisplatin
FANCC	Cisplatin
TPMT	Cisplatin
SRC	Cisplatin
BRCA2	Cisplatin
BRCA1	Cisplatin
FGFR1	Cisplatin
TPMT	Cisplatin
ERCC1	Cisplatin
ATM	Cisplatin
ERCC2	Cisplatin
TP53	Cisplatin
ALK	Cisplatin
AKT1	Cisplatin
ERBB2	Cisplatin
BRCA1	Cisplatin
TP53	Cisplatin
BRCA2	Cisplatin
KRAS	Cisplatin
IDH1	Cisplatin
ATM	Cisplatin
MDM2	Cisplatin
EGFR	Cisplatin
STK11	Cisplatin
SMAD4	Cisplatin
MAP2K1	Cobimetinib
BRAF	Cobimetinib
BRAF	Cobimetinib
BRAF	Cobimetinib
KRAS	Cobimetinib
NRAS	Cobimetinib
KRAS	Cobimetinib
MAP2K1	Cobimetinib
BRAF	Cobimetinib
SMAD4	Crizotinib
TP53	Crizotinib
ERBB2	Crizotinib
ERBB2	Crizotinib
EML4	Crizotinib
ALK	Crizotinib
KRAS	Crizotinib
NPM1	Crizotinib
CDKN2A	Crizotinib
EGFR	Crizotinib
MET	Crizotinib
SRC	Crizotinib
MET	Crizotinib
MET	Crizotinib
ROS1	Crizotinib
ALK	Crizotinib
ABL1	Crizotinib
ETV6	Crizotinib
NTRK1	Crizotinib
ALK	Crizotinib
ROS1	Crizotinib
ROS1	Crizotinib
FGFR1	Crizotinib
BRAF	Crizotinib
BRCA2	Cyclophosphamide
ALK	Cyclophosphamide
TP53	Cyclophosphamide
ERBB2	Cyclophosphamide
BRCA1	Cyclophosphamide
FLT3	Cytarabine
TP53	Cytarabine
GATA1	Cytarabine
KMT2A	Cytarabine
KIT	Cytarabine
G6PD	Dabrafenib
TP53	Dabrafenib
BRAF	Dabrafenib
EGFR	Dabrafenib
PIK3CA	Dabrafenib
KRAS	Dabrafenib
STAG2	Dabrafenib
MAP2K1	Dabrafenib
BRAF	Dabrafenib
BRAF	Dabrafenib
NRAS	Dabrafenib
PTEN	Dacomitinib
ERBB2	Dacomitinib
ERBB2	Dacomitinib
EGFR	Dacomitinib
BRAF	Dasatinib
EGFR	Dasatinib
ABL1	Dasatinib
HRAS	Dasatinib
CBL	Dasatinib
IDH1	Dasatinib
BRAF	Dasatinib
PDGFRA	Dasatinib
IDH1	Dasatinib
PDGFRA	Dasatinib
DDR2	Dasatinib
TP53	Dasatinib
MET	Dasatinib
KIT	Dasatinib
ABL1	Dasatinib
ABL1	Dasatinib
PDGFRA	Dasatinib
IDH2	Dasatinib
APC	Dasatinib
ABL1	Dasatinib
EPHA2	Dasatinib
KIT	Dasatinib
KIT	Dasatinib
KRAS	Dasatinib
BCR	Dasatinib
SRC	Dasatinib
IDH2	Dasatinib
PIK3CA	Dasatinib
NF1	Dasatinib
CSF3R	Dasatinib
IDH1	Decitabine
EGFR	Decitabine
DNMT3A	Decitabine
TET2	Decitabine
TP53	Decitabine
KRAS	Decitabine
ASXL1	Decitabine
IL2RA	Denileukin Diftitox
BRCA1	Denosumab
NOTCH1	Dexamethasone
RB1	Dexamethasone
MYCN	Dinutuximab
FBXW7	Docetaxel
TP53	Docetaxel
KRAS	Docetaxel
KRAS	Docetaxel
NOTCH1	Docetaxel
ERBB2	Docetaxel
STK11	Docetaxel
KRAS	Docetaxel
ALK	Durvalumab
CD274	Durvalumab
EGFR	Durvalumab
TP53	Duvelisib
MAP2K1	Encorafenib
BRAF	Encorafenib
EGFR	Encorafenib
BRAF	Encorafenib
KRAS	Encorafenib
PTEN	Enzalutamide
PTEN	Enzalutamide
CYP17A1	Enzalutamide
AR	Enzalutamide
TP53	Etoposide
BRCA2	Etoposide
FGFR1	Etoposide
EGFR	Etoposide
HRAS	Everolimus
GNAQ	Everolimus
CTNNB1	Everolimus
STK11	Everolimus
BRCA1	Everolimus
PBRM1	Everolimus
AKT1	Everolimus
ERBB2	Everolimus
KRAS	Everolimus
ESR1	Everolimus
NF2	Everolimus
NRAS	Everolimus
RET	Everolimus
TSC1	Everolimus
MPL	Everolimus
ERBB2	Everolimus
BRAF	Everolimus
AKT1	Everolimus
STK11	Everolimus
PIK3CA	Everolimus
EGFR	Everolimus
BRCA2	Everolimus
VHL	Everolimus
NOTCH1	Everolimus
NF1	Everolimus
PTEN	Everolimus
MTOR	Everolimus
PIK3CA	Everolimus
ERBB2	Everolimus
ATM	Everolimus
TSC2	Everolimus
ESR1	Everolimus
TSC1	Everolimus
RB1	Everolimus
MTOR	Everolimus
TSC2	Everolimus
PTEN	Everolimus
GNA11	Everolimus
FLCN	Everolimus
PIK3CA	Everolimus
ESR1	Exemestane
ESR1	Exemestane
ERBB2	Exemestane
JMJD6	Exemestane
ERBB2	Exemestane
AR	Flutamide
KRAS	FOLFIRI
NRAS	FOLFIRI
KRAS	FOLFOX
NRAS	FOLFOX
PIK3CA	FOLFOX
BRAF	FOLFOX
JMJD6	Fulvestrant
ESR1	Fulvestrant
ERBB2	Fulvestrant
ESR1	Fulvestrant
PIK3CA	Fulvestrant
PIK3CA	Fulvestrant
ERBB2	Fulvestrant
ESR1	Fulvestrant
PTEN	Fulvestrant
BRAF	Gefitinib
EGFR	Gefitinib
NRAS	Gefitinib
ERBB2	Gefitinib
KRAS	Gefitinib
EGFR	Gefitinib
FGFR1	Gefitinib
EGFR	Gefitinib
EGFR	Gefitinib
FGFR2	Gefitinib
SMO	Gefitinib
MET	Gefitinib
PTEN	Gefitinib
PDGFRA	Gefitinib
TP53	Ibrutinib
BTK	Ibrutinib
PLCG2	Ibrutinib
MYD88	Ibrutinib
ATM	Ibrutinib
ERBB2	Ibrutinib
PIK3CA	Idelalisib
BRAF	Idelalisib
PTEN	Idelalisib
TP53	Ifosfamide
MSH6	Ipilimumab
MLH1	Ipilimumab
MSH2	Ipilimumab
PMS2	Ipilimumab
MSH3	Ipilimumab
KRAS	Ixabepilone
CRBN	Lenalidomide
ERBB2	Letrozole
ERBB2	Letrozole
CDKN2A	Letrozole
PGR	Letrozole
CTNNB1	Letrozole
ESR1	Letrozole
PIK3CA	Letrozole
PIK3CA	Letrozole
ESR1	Letrozole
IDH1	Lomustine
TPMT	Mercaptopurine
RB1	Mercaptopurine
TPMT	Mercaptopurine
NOTCH1	Mercaptopurine
NOTCH1	Methotrexate
RB1	Methotrexate
FLT3	Methotrexate
KIT	Midostaurin
FLT3	Midostaurin
NPM1	Midostaurin
FLT3	Midostaurin
ETV6	Midostaurin
KRAS	Midostaurin
NTRK3	Midostaurin
FLT3	Midostaurin
KIT	Midostaurin
TP53	Mitomycin C
KRAS	Necitumumab
ABL1	Nilotinib
PDGFRA	Nilotinib
NF1	Nilotinib
KRAS	Nilotinib
KIT	Nilotinib
KIT	Nilotinib
ABL1	Nilotinib
ABL1	Nilotinib
KIT	Nilotinib
UGT1A1	Nilotinib
ABL1	Nilotinib
BCR	Nilotinib
UGT1A1	Nilotinib
PTEN	Nivolumab
CD274	Nivolumab
MSH6	Nivolumab
MLH1	Nivolumab
PMS2	Nivolumab
	Nivolumab
EGFR	Nivolumab
MSH2	Nivolumab
MSH3	Nivolumab
ALK	Nivolumab
BRAF	Nivolumab
MS4A1	Obinutuzumab
VHL	Olaparib
CHEK2	Olaparib
FANCA	Olaparib
CBLC	Olaparib
BRCA1	Olaparib
ATM	Olaparib
TP53	Olaparib
ATM	Olaparib
