Hugo_Symbol	Tumor_Sample_Barcode
MYOM3	TCGA-2A-A8VL-01
LPPR5	TCGA-2A-A8VL-01
OAZ3	TCGA-2A-A8VL-01
SLAMF6	TCGA-2A-A8VL-01
LBH	TCGA-2A-A8VL-01
HIST1H2AE	TCGA-2A-A8VL-01
FRS3	TCGA-2A-A8VL-01
BAI3	TCGA-2A-A8VL-01
MYB	TCGA-2A-A8VL-01
ADAM18	TCGA-2A-A8VL-01
DNHD1	TCGA-2A-A8VL-01
AASDHPPT	TCGA-2A-A8VL-01
TMED10	TCGA-2A-A8VL-01
ATG2B	TCGA-2A-A8VL-01
SETD3	TCGA-2A-A8VL-01
RP11-32B5.7	TCGA-2A-A8VL-01
LASP1	TCGA-2A-A8VL-01
NCOA6	TCGA-2A-A8VL-01
GGT7	TCGA-2A-A8VL-01
ITIH6	TCGA-2A-A8VL-01
XRCC6P5	TCGA-2A-A8VL-01
GSTM3	TCGA-2A-A8VT-01
LY9	TCGA-2A-A8VT-01
USH2A	TCGA-2A-A8VT-01
CLEC4F	TCGA-2A-A8VT-01
LRRTM1	TCGA-2A-A8VT-01
HOXD12	TCGA-2A-A8VT-01
ALPP	TCGA-2A-A8VT-01
HLTF	TCGA-2A-A8VT-01
C9	TCGA-2A-A8VT-01
NUDT12	TCGA-2A-A8VT-01
COQ3	TCGA-2A-A8VT-01
TAB2	TCGA-2A-A8VT-01
MACC1	TCGA-2A-A8VT-01
GOT1L1	TCGA-2A-A8VT-01
RAD54B	TCGA-2A-A8VT-01
TYRP1	TCGA-2A-A8VT-01
SPATA31A6	TCGA-2A-A8VT-01
GOLM1	TCGA-2A-A8VT-01
ARHGAP12	TCGA-2A-A8VT-01
C10orf71	TCGA-2A-A8VT-01
E2F8	TCGA-2A-A8VT-01
HNRNPA1	TCGA-2A-A8VT-01
MYH7	TCGA-2A-A8VT-01
ANXA2	TCGA-2A-A8VT-01
TP53	TCGA-2A-A8VT-01
OR10H2	TCGA-2A-A8VT-01
COX7A1	TCGA-2A-A8VT-01
RYR1	TCGA-2A-A8VT-01
SLC1A5	TCGA-2A-A8VT-01
IZUMO1	TCGA-2A-A8VT-01
CD40	TCGA-2A-A8VT-01
HS6ST2	TCGA-2A-A8VT-01
SI	TCGA-2A-A8VT-01
FREM1	TCGA-2A-A8VT-01
TACSTD2	TCGA-2A-A8VV-01
OR2G2	TCGA-2A-A8VV-01
CCDC108	TCGA-2A-A8VV-01
GRM8	TCGA-2A-A8VV-01
PKHD1L1	TCGA-2A-A8VV-01
CA9	TCGA-2A-A8VV-01
SLC17A6	TCGA-2A-A8VV-01
MYO7A	TCGA-2A-A8VV-01
OR8G5	TCGA-2A-A8VV-01
TUBGCP3	TCGA-2A-A8VV-01
CEP152	TCGA-2A-A8VV-01
ZNF568	TCGA-2A-A8VV-01
TNFRSF4	TCGA-CH-5739-01
